id,input,output
train_61,mario monti .. senatore a vita .. piu posto fisso di cosi' .. si muore. #postofisso,ANALOGY
train_62,"Mario Monti Il Cavaliere Del Santo Graal.: Mario Monti, Il Cavaliere Della Tavola Rotonda Puro E Leale, il Buon... http://t.co/TpfMz1ff",ANALOGY
train_63,"@user Con i prezzi che adotta, non sempre a buon mercato, oltre alla depressione fa venire la scogliosi x la "" comodità "" dei sedili!",ANALOGY
train_64,su facebook scrivono le stesse cose di twitter ... SI MA QUELLE DI 5 MESI FA ... caro facebook aggiornati ..,ANALOGY
train_65,Mario Monti non è Mosè. Diffidate dalle imitazioni.,ANALOGY
train_66,2012: che la profezia dei maya fosse l'avvento del governo monti?,ANALOGY
train_67,Il Fiscal Compact come il governo Monti: chiamano salvataggio l'assicurazione della fine.,ANALOGY
train_68,Mario Monti a capo del Governo tecnico? Come avere un marziano a Roma: Voci insistenti danno l'ex commissario Ue ... http://t.co/o2bFeXjN,ANALOGY
train_69,"Attacca le banche, il parlamento e gli Stati Uniti. Se rivendica anche il corridoio di Danzica #Grillo può rifondare il Nazionalsocialismo.",ANALOGY
train_70,"i poeti costruiscono tweet sulla paura, paura da amare paura di restare .... aggiungete pure paura che non ve la da ...",ANALOGY
train_71,"Penso che babbo natale sia un po invecchiato .. non sente più tanto bene, gli avevo chiesto mari e monti ed invece mi ha portato Mario Monti!",ANALOGY
train_72,RT @user: Non legalizzano la #cannabis Ma iper tassano le cartine. Questi sono geni della finanza. #governoletta #proibizionismo,ANALOGY
train_73,Il governo #Monti fino ad ora non avrà proprio spaccato ma vedere Feltri e Giannini che flirtano non ha prezzo,ANALOGY
train_74,"Fa notizia Mario Monti, sorpreso alla guida senza cintura e al cellulare. Così ci sembra meno grave l'accusa per camorra all'on. Cosentino",ANALOGY
train_75,"@user #Grillo è geniale, ha iniziato facendo la vittima con comizi a pagamento, ora ha messo su un franchising che va ancora meglio.",ANALOGY
train_76,RT @user1: “ @user2: se ci fosse demi direbbe che sono un mashup tra i jonas e gli one direction uscito male. #xf7 ” È VERO AHAHAH …,ANALOGY
train_77,#ultimaparola #Grillo come #Gesù? A quanto pare dice solo #verità,ANALOGY
train_78,@user dovrebbe fare pace col cervello,ANALOGY
train_79,"@user t'appassionerà sapè che nel prossimo governo #Monti ce potrebbe rimanè MaryStar Gelmini, come n'incrostazione.",ANALOGY
train_80,Cosa intendo fare per i poveri ed i bisognosi? Una beata minchia. Cetto La Qualunque? No Mario Monti,ANALOGY
train_81,#ballaro Governo Monti: tutto quello che voleva fare Berlusconi ma non poteva,ANALOGY
train_82,"Mario Monti è un rettiliano, figlio di Satana #sapevatelo #fatepresto",ANALOGY
train_83,l' agiografia delle domeniche del Pio Mario Monti mi risulta indigesta,ANALOGY
train_84,281 senatori a favore del governo tecnico. Mario Monti è pronto ad instaurare il Reich.,ANALOGY
train_85,Immagino che #Grillo voglia farci uscire dall'Euro per tornare alla Dracma.,ANALOGY
train_86,La frase di Mario Monti sul gesso da togliere all'economia italiana mi ricorda quelle convalescenze lunghe e tristi ...,ANALOGY
train_87,"#Albertazzi subito carico a @user: Mario #Monti? E' moscio. Come #Montolivo, il centrocampista della #Fiorentina",ANALOGY
train_88,"Da mesi protestiamo e chiediamo mari e monti, non Mario #Monti capo del governo. #elezioni subito",ANALOGY
train_89,"Mario Monti: ovvero, l'irresistibile charme del Capitale http://t.co/PetKOFI7",ANALOGY
train_90,@user #ditelavostra Bersani nel #Pd è il passato. Ma davvero qualcuno può immaginare #Grillo alla guida di un Paese?,ANALOGY
train_91,RT @user: Ho un complesso di inferiorità verso il mio computer perché lui è più intelligente di me,ANALOGY
train_92,@user li accomuna il numero e la qualità dei neuroni,ANALOGY
train_93,Non riesco a trovare nani e ballerine nel governo Monti. Ci deve essere un errore! :),ANALOGY
train_94,Governo Monti Python?,ANALOGY
train_95,"A rischio il governo Monti, con la #concordia si va a fondo #giglio",ANALOGY
train_96,La destinazione delle vacanze e' il solo problema che non riuscira' a risolvere l'ottimo concergie Mario Monti.,ANALOGY
train_97,@user1 @user2 E' come dare agli 80000 una pistola con un solo colpo da sparare: o si vive o si muore. E' la buona scuola????,ANALOGY
train_98,ci siamo arrivati a Orwell ieri mi sono fatto un giro nei profili degli spacciatori de #labuonascuola tutto a rovescio @user,ANALOGY
train_99,Riguardo #labuonascuola Don Abbondio avrebbe sicuram detto : “ Questa riforma sà da fare ! “ #idoneiconcorsone2012 @user1 @user2,ANALOGY
train_100,"Parigi, ucciso uomo con una cintura esplosiva finta. Ora lo aspettano 72 bambole gonfiabili. [@user]",ANALOGY
train_101,Alfano: “Con i terroristi agiremo come con la mafia“. Nascerà Forza Isis. [@user],ANALOGY
train_102,#labuonascuola insegna che alla fine nella bibbia l'assassino è il maggiordomo.,ANALOGY
train_103,"Sapendo come vanno le cose da quelle parti, tra poco il piccolo Tobia dovrebbe annunciare la scissione da Vendola. [@user]",ANALOGY
train_104,Alex Del Piero resterà in India solo tre mesi. Almeno così gli hanno fatto credere. [@user],ANALOGY
train_105,I marò: “Abbiamo fatto il nostro dovere di militari e di italiani“. Sparare a cazzo e dare la colpa agli altri. [@user],ANALOGY
train_106,"#labuonascuola vi prego, leggete i 12 punti di #Renzi sulla scuola: solo #pannamontatanon ci sono #merito #selezione #partecipazione",ANALOGY
train_107,All'Olimpico si dialoga con gli ultras. In Italia prima di decidere qualsiasi cosa va di moda consultare dei pregiudicati. [@user],ANALOGY
train_108,"Ho atteso trepidante ma invano "" l'Italia è il paese che amo "" #labuonascuola @user http://t.co/nFAStG8IuM http://t.co/60FiSkDYpf",ANALOGY
train_109,"Berlusconi: ""Per gli aquilani io e Bertolaso siamo come la Madonna e Gesù"". Inesistenti. [malerba]",ANALOGY
train_110,Mai un partito di sinistra era arrivato al 40%. E neanche adesso. [@user],ANALOGY
train_111,Ignazio Marino in testa al corteo del Gay Pride. Come al solito succede tutto alle sue spalle. [@user],ANALOGY
train_112,Alfano chiede ai prefetti di annullare i matrimoni gay. Sembra l'inizio dei Promessi Sposi. [@user],ANALOGY
train_113,#labuonascuola ma che è? Si mangia? La grafica delle slide è uguale ad un libro di ricette della Clerici o della Parodi,ANALOGY
train_114,"Alfano: ""Il limite della politica è la natura"". E il limite della natura è Alfano. [pollo]",ANALOGY
train_115,Un fucile giocattolo riesce a seminare il panico. Speriamo funzioni anche con gli F-35. [@user],ANALOGY
train_116,L'uomo che vive una vita indegna deve sempre esprimere propositi morali Flaiano Un po' come #labuonascuola : fosse buona nn avrebbe qst titolo,ANALOGY
train_117,Ora per recuperare consensi Aurora Ramazzotti dovrebbe sparare a dei pescatori indiani. [@user],ANALOGY
train_118,"Spiegare a #renzi che le frasi prevedono soggetto, verbo e predicato. Il #messaggio sulla scuola è una canzone di Jovanotti #labuonascuola",ANALOGY
train_119,Per le devastazioni di Roma-Feyenoord nessun colpevole. È sempre così quando ci sono di mezzo una piazza e una fontana. [@user],ANALOGY
train_120,#labuonascuola: interessante quanto un tweet di @user,ANALOGY
train_121,@user Anche questi nuovi lubrificanti inodori non sono male ! #labuonascuola,ANALOGY
train_122,"La consultazione di cui parla #labuonascuola ricorda gli Stati Generali della Moratti, una specie di Festivalbar",ANALOGY
train_123,"Renzi: ""Scusate il ritardo, ho passato la notte a salvare l'euro"". Ma io dopo un po' l'avrei lasciato perdere, il carrello. [@user]",ANALOGY
train_124,Gli israeliani assistono ai bombardamenti su Gaza con sedie a sdraio e bibite. Esattamente come noi. [@user],ANALOGY
train_125,"@user ""la buona scuola"" pare ""l'opera nazionale balilla""",ANALOGY
train_126,Amici miei - Raccolta supercazzole: http://t.co/vPUQt0dDfl via @user antani la buona scuola con scappellamento a destra,ANALOGY
train_127,"In Italia la scuola è l'unica squadra in cui i giocatori non amano giocare e gli allenatori sono considerati nemici, lontana #labuonascuola",ANALOGY
train_128,"@user la buona scuola nn è un libro dei sogni ma da INCUBI, per la vita degli insegnanti di lungo corso e abilitati #MIDAperRUOLO",ANALOGY
train_129,#tfaordinario = morto che cammina . Anche quest' anno mi fate lavorare 18 h ... ma sono SENZA futuro grazie a #labuonascuola di @user,ANALOGY
train_130,"Quando Salvini dice ""Giusto sparare a chi ruba"" dovrebbe prima riflettere sul suo stipendio da parlamentare. [@user]",ANALOGY
train_131,"#labuonascuola di #Renzi vuol sintonizzare scuola e mondo del lavoro, infatti ti insegna a esser precario e stare muto fin da subito #JobsAct",ANALOGY
train_132,"Se la noia fosse un fossile , la scuola sarebbe un museo #biondi #indire #giochiamocela #labuonascuola",ANALOGY
train_133,"#Giannini, detta anche la campionessa di arrampicata sugli specchi http://t.co/1HGhjQ4ySO #labuonascuola?! #M5S @user1 @user2",ANALOGY
train_134,La buona scuola ... Qui i professori nn sono ancora nominati .. un tornello ...,ANALOGY
train_135,@user La buona scuola??? Sembra il nome di una commedia!!!! Vergogna,ANALOGY
train_136,https://t.co/nsMHAH2rFc La buona scuola ... del gioco delle tre carte!! #MIDAperRUOLO,ANALOGY
train_137,Berlusconi: “Bergoglio fa il Papa come l'avrei fatto io“. Con i nostri soldi. [@user],ANALOGY
train_138,"L'opuscolo #labuonascuola ora lo chiamano ""Libro Bianco sulla Scuola"". Anche il programma della #p2 era un #librobianco?",ANALOGY
train_139,"@user1 @user2 @user3 la "" buona scuola "" mi fa pensare alle "" buone leggi "" di Aristotele ... :))))",ANALOGY
train_140,@user Più che la #labuonascuola direi #carascuola visto che ci vogliono più di 800 euro a pischello .... quasi quanto 5 kg di gelato,ANALOGY
train_141,"Francesca Pascale: ""La Meloni è una fascista moderna"". Farà jogging su Roma. [@user]",ANALOGY
train_142,"Leo Messi: ""Firmo quello che mi dice papà"". Pure la Boschi. [notturnoconcertante]",ANALOGY
train_143,“@user: #labuonascuola la scuola buona? AHAHAHAHAHAHAHAAHHAHAHAHAHAHAHAH MEGLIO L'ARENA DEGLI HUNGER GAMES.”,ANALOGY
train_144,Siamo lo stato che sta più seduto sui banchi #labuonascuola del mondo e siamo in #crisieconomica come tutto #ilmondo @user1 @user2,ANALOGY
train_145,@user: Alle 10 appuntamento su http://t.co/lqabowVWYO #italiariparte #labuonascuola. Si si ... preferisco una puntata di Walking Dead,ANALOGY
train_146,"Signorini: “Che differenza c'è tra il cono della Madia e il calippo della Pascale?“. Il primo è un gelato, l'altro un curriculum. [@user]",ANALOGY
train_147,"Roma, Bertolaso porta 50.000 persone ai gazebo. All'Aquila c'era riuscito con i tendoni. [@user]",ANALOGY
train_148,"Grillo, Vendola e Fassina in Grecia ricordano quelli che vanno a trombare a Mykonos perché non ci riescono a Rimini. [@user]",ANALOGY
train_149,"Milano, grande affluenza di cinesi alle primarie Pd. Finalmente qualcosa di sinistra. [guli1979]",ANALOGY
train_150,#labuonascuola è un pacco (stesso design di Poltrone & Sofà: gli artigiani della qualità ... cinese ) . @user http://t.co/xXLKcZcVBU,ANALOGY
train_151,Proporzione della “ buona scuola “ : La “ buona scuola “ : Renzi - Giannini = la gallina innamorata : Banderas. (Noncelapossofà Zan zan),ANALOGY
train_152,"Oggi riaprono le scuole, nell'occasione si presenteranno anche i ministri: s'è detto scuole non seggi! #labuonascuolauncazzo",ANALOGY
train_153,"#labuonascuola è come #labuonatavola: se ogni singolo ingrediente della ricetta non è buono, il risultato è improponibile",ANALOGY
train_154,"@user Il libro di Pinocchio, zeppo di bugie, a partire dal titolo. Nessuna buona scuola senza docenti abilitati di 2^fascia #MIDAperRUOLO",ANALOGY
train_155,@user #shish #labuonascuola e dopo aver rovinato l'inglese per parcondicio massacri l'italiano http://t.co/n2QxuwCxKV,ANALOGY
train_156,La buona scuola o i somari allo sbaraglio? La riforma del gelataio piena di errori. #chefiguradim http://t.co/Yi9CR5H3O6,ANALOGY
train_157,"“ @user1: Nostri 12 punti per #labuonascuola. Dal 15 set al 15 nov saremo in ogni scuola! IN CIELO, IN TERRA, IN OGNI SCUOLA @user2",ANALOGY
train_158,Al Miur sfortuna con addetti stampa: dopo tunnel neutrini i 6 a capo sbagliati #labuonascuola #iosperiamochemelacavo http://t.co/liLvxBklQW,ANALOGY
train_159,"@user problemi spazio-temporali, entropia dell'universo, troppi stronzi in giro, il default dell'italia, la buona scuola, continuo?",ANALOGY
train_160,"È morto Pietro Ingrao, storico militante di sinistra. Quindi ha anche smesso di soffrire. [@user]",ANALOGY
train_161,"@user intanto nella buona scuola piena così di wi-fi e Lim e tablet, io sto ancora qui a ritagliare collage di esercizi",ANALOGY
train_162,Una buona scuola per un mondo buono. Firmato Mulino Bianco,ANALOGY
train_163,Nobel per la Pace a Malala: ha rischiato la vita per garantire l'istruzione. Che poi è quello che succede a ogni supplente. [@user],ANALOGY
train_164,"#labuonascuola ci ricorda la retorica classica del PD, ma anche quella della Mulino Bianco.",ANALOGY
train_165,Ho letto #labuonascuola di #incoeRenzi:nessun progetto concreto! E' riuscito a fare il gelato senza latte ne aromi! #ilMagodellaFuffa,ANALOGY
train_166,Il Pd perde 400 mila iscritti. È iniziata la fase in cui lo votiamo ma ci vergogniamo a farlo sapere. [@user],ANALOGY
train_167,@user La tua buona scuola somiglia tanto alla politica aziendale fatta da Marchionne alla Fiat. Complimentoni!!!,ANALOGY
train_168,la buona scuola sembra la sigla della warner bross http://t.co/zOojQ9B9xj,ANALOGY
train_169,Grillo apre al Pd. Fossi in Renzi gli manderei Bersani. [@user],ANALOGY
train_170,Papa' cinque anni fa siamo stati le cavie della riforma scuola .. quest'anno lo saremo della nuova riforma maturità .. non è giusto. cit. Camilla.,ANALOGY
train_171,Il virus Ebola arriva in America. “ È qui per lavoro? Ha intenzione di provocare un genocidio? Dove risiederà? “ [@user],ANALOGY
train_172,"Alfano: ""L'Italia deve accogliere chi scappa dalle persecuzioni"". Come il Pd ha fatto con lui. [CONTINUA su http://t.co/oDPUtx2DvV]",ANALOGY
train_173,Marino pubblica 492 pagine di note spese e ricevute. Ora è il nuovo Fabio Volo. [CONTINUA su http://t.co/oDPUtx2DvV],ANALOGY
train_174,Il killer di Yara è stato incastrato dal Dna. Come Balotelli. [CONTINUA su http://t.co/OdOKzyumLz],ANALOGY
train_175,L'Isis giustizia i gay lanciandoli da un palazzo. Da noi aspettiamo che lo facciano da soli. [@user],ANALOGY
train_176,Salvini in volo verso Mosca. Di solito avviene il contrario. [a.mazed],ANALOGY
train_177,La buona scuola ... Si comprende cioè la differenza tra SCUOLA e LUDOTECA corredata di servizio babysitter? ... Davvero?,ANALOGY
train_178,http://t.co/2MS7U3sFYt Ecco la buona scuola del #bullodiprovincia e della sua serva sciocca Giannini: la fabbrica delle illusioni,ANALOGY
train_179,"Renzi: ""Le mie riforme un bacio all'Italia addormentata"". È il metodo Bill Cosby. [@user]",ANALOGY
train_180,Il piano presentato dal governo per #labuonascuola #sapevatelo scrivi #Renzi e leggi Aprea #scuola https://t.co/BFHs7TsNMz #riformascuola,ANALOGY
train_181,"per #labuonascuola c'è un video appello di @user per la riforma della scuola. Ah no, questo era della Gelmini https://t.co/dQBjm5esGX",ANALOGY
train_182,"Tranquilli, da noi non vedremo mai scene come quelle dei bancomat greci. Intendo le file ordinate. [@user]",ANALOGY
train_183,George Bush senior ricoverato in ospedale. Confidiamo nell'effetto Mango. [giga],ANALOGY
train_184,Salvini cacciato da Napoli. Ora proviamo con Giovanardi a Mykonos. [@user],ANALOGY
train_185,Violenze e spari a Roma prima della finale di Coppa Italia. Bello che si stia valorizzando anche questo trofeo. [@user],ANALOGY
train_186,"Se questo è il coraggio educativo di Confindustria, non solo il Governo ha sbagliato #labuonascuola, ma l'Italia ha sbagliato imprenditori.",ANALOGY
train_187,Crolla la borsa di Shanghai. Ora bisogna risollevarla senza muovere le altre. [@user],ANALOGY
train_188,Salvini: “Al Quirinale vorrei Vittorio Feltri“. È già abituato a mettere la firma su delle stronzate. [@user],ANALOGY
train_189,Le domande della #pseudoconsultazione di #Renzi su #labuonascuola sembrano quelle dell'asilo: ti piace la nutella? Con il pane o senza?,ANALOGY
train_190,"Studenti in piazza. In 200 chiamano il ministro: «Altro che buona scuola, caro scuola» http://t.co/gWrM6LxHeb",ANALOGY
train_191,"La Spagna come l'Italia del 2010. Anzi no, Napolitano c'è ancora. [@user] #Mondiali2014",ANALOGY
train_192,Svelata #labuonascuola ? togliere al concorso x dare alla Gae? Fermi un giro e ripartire dal via? #vincitorisenzacattedra NON RINGRAZIANO,ANALOGY
train_193,"Genova, il cardinale Bagnasco cammina sul fango. Ma così son buoni tutti. [CONTINUA su http://t.co/oDPUtx2DvV]",ANALOGY
train_194,Renzi lancia #labuonascuola ma anche questa è una sòla,ANALOGY
train_195,Consigliere comunale M5S sorpreso a rubare negli armadietti della palestra. Li apriva come una scatoletta di tonno. [@user],ANALOGY
train_196,Cicciolina: “Quando facevo politica ero come Grillo“. Circondata da cazzoni. [rubagalline],ANALOGY
train_197,@user1 @user2 la buona scuola nn è un fungo che spunta dopo la pioggia . BASTA SLOGAN x prenderci in giro . SIATE SERI!,ANALOGY
train_198,"Alfano: ""Il Giubileo deve funzionare come l'Expo"". Ok, appena finisce smontiamo tutto. [@user]",ANALOGY
train_199,@user1 @user2 @user3 @user4 @user5 e neppure semplificabile in dépliant come la buona scuola,ANALOGY
train_200,Alessandra Moretti: “Rosy Bindi ha mortificato la bellezza“. Così lei si è vendicata sull'intelligenza. [@user],ANALOGY
train_201,Ha avuto più scorta Casamonica da morto che Marco Biagi da vivo. [CONTINUA su http://t.co/oDPUtx2DvV],ANALOGY
train_202,"La buona scuola, confezionata come un pasticcino http://t.co/Y87cl3xrFr via @user",ANALOGY
train_203,Renzi: “Dobbiamo eliminare gli scontrini“. Tutto suo padre. [@user],ANALOGY
train_204,#labuonascuola: altro annuncio senza contenuto dell'uomo delle televendite. In quest'Italia ove vendere pentole o governare è la stessa cosa,ANALOGY
train_205,"Roma, immigrati assaltano autobus a colpi di pietre e bastoni. E poi lo cucinano. [CONTINUA su http://t.co/oDPUtx2DvV]",ANALOGY
train_206,La Pausini farà il tour degli stadi. Un po' come l'Inter. [@user],ANALOGY
train_207,La nazionale di scherma regala una sciabola a Renzi. Ora sembra Bilbo Baggins. [CONTINUA su http://t.co/oDPUtxkMK3],ANALOGY
train_208,Di Battista sull'Isis: “Il terrorista non è un soggetto disumano con il quale non si può dialogare“. Quello è Bersani. [@user],ANALOGY
train_209,@user non so a te ma a me lo slogan #labuonascuola mi suona come #nelmulinochevorrei del #mulinobianco! C'è anche #antoniobanderas ?,ANALOGY
train_210,per ora l'unico miracolo natalizio del governo #monti è aver fatto riunire i sindacati confederali,EUPHEMISM
train_211,Convincetemi che con governo #Monti non stiamo facendo come quelle sette che praticano suicidio di massa. In fiduciosa attesa,EUPHEMISM
train_212,Certo che il professor Monti poteva dare una mano alla moglie in cucina ... E che c... #cotechinoelenticchie,EUPHEMISM
train_213,"@user1 Consolati, il governo #Monti ha messo una tassa sulla fortuna. Te non la pagherai mai. @user2 grazie per l'aiuto fratello!",EUPHEMISM
train_214,"Faccio fatica a dirlo, ma ... una spruzzata di Thatcher, please. #Thatcher4italy #liberalizzazioni #taxi #farmacie #benzinai #governo #Monti",EUPHEMISM
train_215,Il Governo #Monti è perfetto per arrivare fino alle vacanze di Natale. #manifestazione studenti,EUPHEMISM
train_216,@user1 @user2 @user3 Mario monti .... Gruppo bildenberg ..... e ho detto tutto ... secondovoi stiamo male? Nooo,EUPHEMISM
train_217,@user1: Ora i finiani sono meno entusiasti del governo Monti @user2 Loro perdono spesso entusiasmo per i governi,EUPHEMISM
train_218,L' unica cosa buona del governo Monti è che non ci sorbiamo più il nano. Adesso però andiamo a votare per favore! #serviziopubblico,EUPHEMISM
train_219,Chi dice che il governo Monti è una primavera ha un' idea approssimativa delle stagioni #assembleasel,EUPHEMISM
train_220,Se non altro adesso ce lo mettono in culo in maniera molto più elegante. #governo #Monti,EUPHEMISM
train_221,"certo che se #Fini e Schifani avessero colpito i vitalizi prima della caduta di B., col piffero che nasceva il Governo #Monti. :)",EUPHEMISM
train_222,#visco: Con la #manovra scende il Pil. Grazie professor #monti. se al tuo posto ci mettevamo l'omino del banco della frutta faceva meglio.,EUPHEMISM
train_223,"altro che 140 caratteri, mi ci vorrebbe il rotolo di carta igienica #Foxy per dire giusto due cosette a nonno Mario #Monti #monotonia",EUPHEMISM
train_224,""" #Grillo lo voto solo questa volta, tanto non può fare più di tanti danni. "" #erroredrammatico",EUPHEMISM
train_225,Abbiamo fatto un enorme sforzo per far sì che non si escludano sempre i soliti noti. [ cit. Mario Monti ] eeeee che sforzo!,EUPHEMISM
train_226,l' italia confida in Mario Monti .... anche se bene che va siamo rovinati.,EUPHEMISM
train_227,mancano 5.6 milioni di euro ... SOLO! http://t.co/1c9gMIDe,EUPHEMISM
